Reference,n,VaR_distress,CoVaR_cond_viol,Avg_S_VaR,Avg_S_CoVaR
MICROSOFT,5789,0.0837795819657972,0.13402061855670103,0.0016299074827428376,0.00020124337970720975
ASML,5789,0.08585247883917775,0.1488933601609658,0.0024541718151578082,0.00020675566095889564
CITIGROUP,5789,0.08809811711867335,0.1607843137254902,0.0025728121890954653,0.00021066275845209618
GENERALDYNAMICS,5789,0.08706166868198308,0.12698412698412698,0.0015175051557494521,0.00020783693453185626
JPM,5789,0.09068923821039904,0.14476190476190476,0.002048326134840932,0.00022603562374709935
NVIDIA,5789,0.08516151321471757,0.12778904665314403,0.0031476435288614615,0.00019463751146802792
PEPSICO,5789,0.08740715149421316,0.16996047430830039,0.0011405537622491033,0.0002535175055854358
QQQ,5789,0.08170668509241666,0.1543340380549683,0.0013776775639029561,0.00018400693992063404
DIAGEO,5789,0.09086197961651409,0.15019011406844107,0.0013376686909954453,0.0002502484662523397
