Reference,n,VaR_distress,CoVaR_cond_viol,Avg_S_VaR,Avg_S_CoVaR
MICROSOFT,5789,0.05009500777336327,0.09655172413793103,0.0017208508809811722,0.00011080554283986879
ASML,5789,0.05234064605285887,0.07260726072607261,0.0025858470677146334,0.0001058820495767836
CITIGROUP,5789,0.052858870271204006,0.09803921568627451,0.0027642130462946983,0.00012363797978925557
GENERALDYNAMICS,5789,0.05493176714458456,0.08176100628930817,0.0015543872529797905,0.0001235557449473139
JPM,5789,0.05527724995681465,0.11875,0.0021497257872689596,0.00012523135170150294
NVIDIA,5789,0.05164968042839869,0.08695652173913043,0.0032655533170668537,0.0001044773773536017
PEPSICO,5789,0.052513387458973916,0.09868421052631579,0.0011823766000172748,0.00013379100017274148
QQQ,5789,0.04646743824494731,0.13011152416356878,0.001443133179737434,0.00011117003066159962
DIAGEO,5789,0.0509587148039385,0.0711864406779661,0.0013769261193643126,0.00011309260278113667
