Reference,n,VaR_distress,CoVaR_cond_viol,Avg_S_VaR,Avg_S_CoVaR
MICROSOFT,5789,0.044912765589911904,0.16153846153846155,0.001838752164187691,8.054522578674846e-05
ASML,5789,0.04750388668163759,0.14545454545454545,0.0026891306634028705,8.717349703409593e-05
CITIGROUP,5789,0.04836759371221282,0.16428571428571428,0.0025182375481367356,8.186931516765354e-05
GENERALDYNAMICS,5789,0.04387631715322163,0.17716535433070865,0.0016322034051080216,8.808580570504575e-05
JPM,5789,0.04612195543271722,0.1647940074906367,0.0020743352471588672,8.297524880552163e-05
NVIDIA,5789,0.03523924684746934,0.1715686274509804,0.0035421272430488627,7.684234090646966e-05
PEPSICO,5789,0.04664017965106236,0.12962962962962962,0.0012358769043385638,9.43757230066221e-05
QQQ,5789,0.057177405424080154,0.15709969788519637,0.0014921668929172719,7.928270182394479e-05
DIAGEO,5789,0.04543098980825704,0.18631178707224336,0.0014469337432875457,9.586081032383766e-05
